timestamp,__name__,endpoint,instance,job,namespace,pod,prometheus,quantile,service,value
2024-05-17 14:25:12.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,34.0
2024-05-17 14:25:17.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,19.0
2024-05-17 14:25:22.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,19.0
2024-05-17 14:25:27.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,19.0
2024-05-17 14:25:32.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,19.0
2024-05-17 14:25:37.437000036,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,19.0
2024-05-17 14:25:42.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,19.0
2024-05-17 14:25:47.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,19.0
2024-05-17 14:25:52.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,19.0
2024-05-17 14:25:57.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,19.0
2024-05-17 14:26:02.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,50.0
2024-05-17 14:26:07.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,50.0
2024-05-17 14:26:12.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,50.0
2024-05-17 14:26:17.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,31.0
2024-05-17 14:26:22.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,31.0
2024-05-17 14:26:27.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,31.0
2024-05-17 14:26:32.424999952,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,7.0
2024-05-17 14:26:37.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,7.0
2024-05-17 14:26:42.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,7.0
2024-05-17 14:26:47.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,7.0
2024-05-17 14:26:52.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,7.0
2024-05-17 14:26:57.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,7.0
2024-05-17 14:27:02.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,7.0
2024-05-17 14:27:07.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,7.0
2024-05-17 14:27:12.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,7.0
2024-05-17 14:27:17.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,7.0
2024-05-17 14:27:22.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,329.0
2024-05-17 14:27:27.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,329.0
2024-05-17 14:27:32.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,329.0
2024-05-17 14:27:37.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,329.0
2024-05-17 14:27:42.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,107.0
2024-05-17 14:27:47.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,107.0
2024-05-17 14:27:52.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,107.0
2024-05-17 14:27:57.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,107.0
2024-05-17 14:28:02.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,107.0
2024-05-17 14:28:07.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,107.0
2024-05-17 14:28:12.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,107.0
2024-05-17 14:28:17.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,54.0
2024-05-17 14:28:22.397000074,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,54.0
2024-05-17 14:28:27.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,40.0
2024-05-17 14:28:32.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,40.0
2024-05-17 14:28:37.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,40.0
2024-05-17 14:28:42.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,40.0
2024-05-17 14:28:47.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,40.0
2024-05-17 14:28:52.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,40.0
2024-05-17 14:28:57.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,40.0
2024-05-17 14:29:02.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,40.0
2024-05-17 14:29:07.380000114,tgi_batch_next_tokens,http,10.128.4.158:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,0,tgis-bam,40.0
